,z,qc,fs,Rf,u2,incl_x,incl_y,incl,pen,time
0,2.86,0.325,0.015,4.615384615384615,7.398764286197e-312,7.398766937e-312,7.399438971176e-312,0.0,0.0,0.0
1,2.7849999999999997,0.525,0.016,3.0476190476190474,7.39943940279e-312,7.39943940279e-312,7.39943940279e-312,0.0,0.075,0.0
2,2.735,0.5,0.015,3.0,0.03,4.243993011e-314,4.9654701517135e-311,0.0,0.125,0.0
3,2.685,0.45,0.001,0.2222222222222222,0.0022222222222222222,4.243993012e-314,2.9877700736818e-310,0.0,0.175,0.0
4,2.635,0.475,0.001,0.21052631578947367,0.002105263157894737,4.2439930127e-314,4.965470151713e-311,0.0,0.225,0.0
5,2.585,0.55,0.0,0.0,0.0,4.2439930137e-314,3.0420931659306e-310,,0.275,0.0
6,2.5349999999999997,0.775,0.001,0.12903225806451613,0.0012903225806451613,4.2439930147e-314,4.9654701517125e-311,0.0,0.325,0.0
7,2.485,1.4,0.003,0.2142857142857143,0.002142857142857143,4.2439930157e-314,2.9877700736818e-310,0.0,0.375,0.0
8,2.435,1.925,0.006,0.3116883116883117,0.003116883116883117,4.2439930167e-314,4.965470151712e-311,0.0,0.425,0.0
9,2.385,1.975,0.009,0.4556962025316455,0.004556962025316455,4.2439930177e-314,2.9877700736818e-310,0.0,0.475,0.0
10,2.335,1.725,0.012,0.6956521739130435,0.006956521739130434,4.2439930187e-314,4.9654701517115e-311,0.0,0.525,0.0
11,2.285,2.0,0.009,0.44999999999999996,0.0045,4.2439930197e-314,7.1447598281835e-311,0.0,0.575,0.0
12,2.235,1.875,0.011,0.5866666666666667,0.005866666666666667,4.2439930206e-314,4.9675921475025e-311,0.0,0.625,0.0
13,2.1849999999999996,1.45,0.011,0.7586206896551724,0.007586206896551724,4.2439930216e-314,2.57695168855104e-310,0.0,0.675,0.0
14,2.135,0.9,0.011,1.222222222222222,0.012222222222222221,4.2439930226e-314,4.967592147502e-311,0.0,0.725,0.0
15,2.085,0.625,0.008,1.28,0.0128,4.2439930236e-314,3.856939549662e-310,0.0,0.775,0.0
16,2.035,0.425,0.005,1.1764705882352942,0.011764705882352941,4.2439930246e-314,4.9675921475015e-311,0.0,0.825,0.0
17,1.9849999999999999,0.3,0.002,0.6666666666666667,0.006666666666666667,4.2439930256e-314,3.856939549662e-310,0.0,0.875,0.0
18,1.9349999999999998,0.2,0.001,0.5,0.005,4.2439930266e-314,4.967592147501e-311,0.0,0.925,0.0
19,1.8849999999999998,0.25,0.0,0.0,0.0,4.2439930276e-314,3.73747118662995e-310,0.0,0.975,0.0
20,1.835,0.3,0.0,0.0,0.0,4.2439930286e-314,4.969714143292e-311,0.0,1.025,0.0
21,1.785,0.375,0.0,0.0,0.0,4.2439930295e-314,1.574520876903e-311,0.0,1.075,0.0
22,1.7349999999999999,0.5,0.0,0.0,0.0,4.2439930305e-314,4.9697141432914e-311,0.0,1.125,0.0
23,1.6849999999999998,0.825,0.001,0.12121212121212122,0.0012121212121212121,4.2439930315e-314,3.856939549662e-310,0.0,1.175,0.0
24,1.6349999999999998,1.575,0.008,0.5079365079365079,0.005079365079365079,4.2439930325e-314,4.969714143291e-311,0.0,1.225,0.0
25,1.585,1.975,0.012,0.6075949367088608,0.0060759493670886075,4.2439930335e-314,3.91126264191075e-310,0.0,1.275,0.0
26,1.535,1.25,0.015,1.2,0.012,4.2439930345e-314,4.9697141432905e-311,0.0,1.325,0.0
27,1.4849999999999999,0.7,0.02,2.857142857142857,0.028571428571428574,4.2439930355e-314,5.42212364507936e-310,0.0,1.375,0.0
28,1.4349999999999998,0.451,0.022,4.878048780487805,0.048780487804878044,4.2439930365e-314,4.9718361390814e-311,0.0,1.425,0.0
29,1.3849999999999998,0.401,0.017,4.239401496259352,0.04239401496259352,4.2439930374e-314,2.54639494926e-313,0.0,1.475,0.0
30,1.335,0.326,0.019,5.828220858895705,0.05828220858895705,4.2439930384e-314,4.971836139081e-311,0.0,1.525,0.0
31,1.285,0.201,0.009,4.477611940298507,0.04477611940298507,4.2439930394e-314,5.5952785016223e-310,0.0,1.575,0.0
32,1.2349999999999999,0.176,0.005,2.8409090909090913,0.02840909090909091,4.2439930404e-314,4.9718361390804e-311,0.0,1.625,0.0
33,1.1849999999999998,0.126,0.003,2.380952380952381,0.023809523809523808,4.2439930414e-314,5.6496015938711e-310,0.0,1.675,0.0
34,1.1349999999999998,0.151,0.002,1.3245033112582782,0.013245033112582781,4.2439930424e-314,4.97183613908e-311,0.0,1.725,0.0
35,1.085,0.201,0.003,1.4925373134328357,0.014925373134328358,4.2439930434e-314,3.9594319463644e-310,0.0,1.775,0.0
36,1.035,8.788,0.011,0.1251706873008648,0.001251706873008648,4.2439930444e-314,4.973958134871e-311,0.0,1.825,0.0
37,0.9849999999999999,17.376,0.019,0.10934622467771637,0.0010934622467771637,4.2439930454e-314,1.7493733300748e-310,0.0,1.875,0.0
38,0.9349999999999998,12.151,0.23,1.8928483252407209,0.01892848325240721,4.2439930463e-314,4.9739581348704e-311,0.0,1.925,0.0
39,0.8849999999999998,7.376,0.356,4.82646420824295,0.0482646420824295,4.2439930473e-314,6.8447096233438e-310,0.0,1.975,0.0
40,0.835,5.901,0.271,4.592441958990002,0.04592441958990002,4.2439930483e-314,4.97395813487e-311,0.0,2.025,0.0
41,0.7849999999999997,5.276,0.081,1.5352539802880971,0.015352539802880972,4.2439930493e-314,5.44673879625307e-310,0.0,2.075,0.0
42,0.7349999999999999,4.751,0.062,1.3049884234897915,0.013049884234897915,4.2439930503e-314,4.976080130661e-311,0.0,2.125,0.0
43,0.685,4.151,0.056,1.349072512647555,0.013490725126475549,4.2439930513e-314,1.40306361698905e-310,0.0,2.175,0.0
44,0.6349999999999998,3.651,0.047,1.2873185428649685,0.012873185428649686,4.2439930523e-314,4.9760801306604e-311,0.0,2.225,0.0
45,0.585,3.301,0.041,1.2420478642835504,0.012420478642835504,4.2439930533e-314,6.91325008739233e-310,0.0,2.275,0.0
46,0.5349999999999997,3.026,0.036,1.1896893588896233,0.011896893588896233,4.243993054e-314,4.97608013066e-311,0.0,2.325,0.0
47,0.4849999999999999,3.001,0.034,1.1329556814395203,0.011329556814395203,4.243993055e-314,5.79814129923677e-310,0.0,2.375,0.0
48,0.43500000000000005,3.351,0.033,0.9847806624888094,0.009847806624888093,4.243993056e-314,4.978202126451e-311,0.0,2.425,0.0
49,0.3849999999999998,3.976,0.03,0.7545271629778671,0.007545271629778672,4.243993057e-314,3.55391855071388e-310,0.0,2.475,0.0
