,z,qc,fs,u2
134564,14.68,30.129,208.894,163.9
134565,14.70,30.285,207.844,165.5
134566,14.72,30.459,204.933,164.0
134567,14.74,30.710,203.164,166.0
134568,14.76,31.100,202.702,166.5
134569,14.78,31.673,205.666,163.5
134570,14.80,32.492,207.439,164.6
134571,14.82,33.336,205.663,165.3
134572,14.84,34.163,213.333,165.9
134573,14.86,35.030,222.818,166.1
134574,14.88,35.848,230.824,163.5
134575,14.90,36.594,234.689,166.7
134576,14.92,37.399,237.660,163.9
134577,14.94,37.985,239.914,162.6
134578,14.96,38.199,243.032,163.6
134579,14.98,38.223,249.098,163.7
134580,15.00,38.164,250.634,159.7
134581,15.02,38.068,248.871,162.4
134582,15.04,38.341,244.638,152.1
134583,15.06,38.590,240.509,167.9
134584,15.08,38.494,241.383,174.6
134585,15.10,38.512,239.733,159.0
134586,15.12,38.579,236.050,158.7
134587,15.14,38.692,234.081,155.3
134588,15.16,38.949,237.520,160.6
134589,15.18,38.957,238.407,171.5
134590,15.20,38.883,241.580,164.4
134591,15.22,38.814,240.248,165.9
134592,15.24,38.868,240.067,134.1
134593,15.26,38.522,241.330,165.8
134594,15.28,38.070,244.324,168.6
134595,15.30,37.734,245.792,164.1
134596,15.32,37.608,241.234,164.3
134597,15.34,37.519,237.977,166.8
134598,15.36,37.560,237.463,173.7
134599,15.38,37.806,240.728,165.3
134600,15.40,38.083,241.066,170.4
134601,15.42,38.484,240.685,171.7
134602,15.44,38.964,240.262,161.9
134603,15.46,39.605,239.539,164.5
134604,15.48,40.391,240.023,173.7
134605,15.50,41.271,247.293,165.8
134606,15.52,41.936,257.713,168.9
134607,15.54,42.404,267.757,167.4
134608,15.56,42.407,272.935,164.8
134609,15.58,42.089,270.620,169.6
134610,15.60,41.482,258.939,186.5
134611,15.62,40.705,263.516,163.8
134612,15.64,40.486,271.179,169.0
134613,15.66,40.707,277.026,179.4
134614,15.68,41.158,283.674,176.8
134615,15.70,41.453,295.256,180.3
134616,15.72,41.368,322.733,183.2
134617,15.74,41.844,303.687,168.8
134618,15.76,43.036,300.529,135.0
134619,15.78,43.976,309.412,129.2
134620,15.80,44.705,291.820,142.7
134621,15.82,44.665,281.020,5.5
134622,15.84,44.420,254.297,28.7
134623,15.86,44.162,239.502,49.3
134624,15.88,43.440,249.639,120.1
134625,15.90,43.431,258.772,143.8
134626,15.92,43.431,258.452,171.7
134627,15.94,43.134,258.829,177.7
134628,15.96,42.699,250.985,174.1
134629,15.98,42.342,249.148,178.2
134630,16.00,42.490,246.856,169.0
134631,16.02,42.724,241.810,172.3
134632,16.04,42.971,241.081,164.1
134633,16.06,42.927,243.263,186.3
134634,16.08,42.736,245.012,174.0
134635,16.10,42.326,245.629,162.3
134636,16.12,41.942,242.086,168.0
134637,16.14,41.685,237.410,168.9
134638,16.16,41.659,235.574,177.7
134639,16.18,41.436,230.590,186.1
134640,16.20,41.128,227.617,176.1
134641,16.22,40.593,228.731,173.0
134642,16.24,40.181,232.074,165.9
134643,16.26,40.541,227.513,169.7
134644,16.28,41.026,225.577,179.7
134645,16.30,40.773,227.634,185.3
134646,16.32,40.545,235.786,179.4
134647,16.34,40.234,232.972,152.5
134648,16.36,40.000,229.659,155.8
134649,16.38,39.886,224.666,165.2
134650,16.40,39.596,223.835,187.7
134651,16.42,39.216,223.944,173.3
134652,16.44,39.707,223.231,172.6
134653,16.46,40.251,222.237,175.5
134654,16.48,40.820,226.444,178.7
134655,16.50,41.240,236.314,183.2
134656,16.52,41.203,242.866,182.0
134657,16.54,40.254,244.904,183.5
134658,16.56,38.699,245.253,182.0
134659,16.58,37.085,243.470,181.4
134660,16.60,35.542,237.302,178.8
134661,16.62,34.301,232.914,190.8
134662,16.64,33.504,233.155,182.5
134663,16.66,32.826,238.204,175.3
134664,16.68,32.235,244.759,180.7
134665,16.70,31.835,251.327,172.6
134666,16.72,31.496,254.127,151.4
134667,16.74,31.037,255.535,153.5
134668,16.76,30.506,255.746,148.5
134669,16.78,29.984,253.683,151.5
134670,16.80,29.408,250.080,153.9
134671,16.82,28.842,248.980,154.9
134672,16.84,28.284,245.739,160.5
134673,16.86,27.837,243.803,164.5
134674,16.88,27.378,243.645,158.4
134675,16.90,26.872,242.458,167.1
134676,16.92,26.397,239.523,158.9
134677,16.94,26.013,237.241,160.1
134678,16.96,25.544,234.544,167.4
134679,16.98,24.996,231.721,159.4
134680,17.00,24.395,227.135,159.2
134681,17.02,23.797,221.642,159.7
134682,17.04,23.246,216.450,159.9
134683,17.06,22.787,210.029,170.0
134684,17.08,22.423,204.588,163.0
134685,17.10,22.295,202.626,161.6
134686,17.12,22.215,202.893,168.5
134687,17.14,22.472,203.981,159.3
134688,17.16,22.667,202.408,143.6
134689,17.18,22.780,203.106,143.5
134690,17.20,22.779,205.260,147.8
134691,17.22,22.726,203.123,144.5
134692,17.24,22.908,194.975,158.5
134693,17.26,23.248,191.593,171.3
134694,17.28,23.358,194.091,165.9
134695,17.30,23.652,194.412,131.7
134696,17.32,24.405,193.328,88.0
134697,17.34,25.279,194.043,84.4
134698,17.36,25.838,198.601,107.0
134699,17.38,26.142,204.633,105.1
134700,17.40,26.197,206.646,94.6
134701,17.42,26.245,202.653,117.4
134702,17.44,26.352,200.202,151.5
134703,17.46,26.614,200.614,172.6
134704,17.48,26.905,200.878,181.4
134705,17.50,27.066,199.068,187.3
134706,17.52,27.145,197.776,189.7
134707,17.54,27.114,197.839,185.2
134708,17.56,26.966,197.734,190.0
134709,17.58,26.870,199.342,192.6
134710,17.60,26.937,199.330,195.1
134711,17.62,27.115,199.304,194.1
134712,17.64,27.170,200.492,197.4
134713,17.66,27.232,202.411,194.8
134714,17.68,27.442,203.977,182.0
134715,17.70,27.446,205.861,189.4
134716,17.72,27.397,208.764,192.8
134717,17.74,27.274,211.391,193.2
134718,17.76,27.239,212.710,193.2
134719,17.78,27.299,213.930,193.9
134720,17.80,27.247,212.269,195.4
134721,17.82,27.159,210.513,196.5
134722,17.84,27.074,208.819,194.6
134723,17.86,26.918,206.773,194.9
134724,17.88,26.736,207.140,195.0
134725,17.90,26.670,205.994,195.7
134726,17.92,26.781,205.013,198.7
134727,17.94,26.873,203.722,195.3
134728,17.96,26.912,204.198,198.6
134729,17.98,27.049,205.225,171.9
134730,18.00,26.953,204.675,176.8
134731,18.02,26.840,204.732,188.1
134732,18.04,26.700,205.989,193.9
134733,18.06,26.760,207.117,196.3
134734,18.08,26.949,206.598,197.5
134735,18.10,27.044,206.429,198.8
134736,18.12,27.081,206.405,197.0
134737,18.14,26.994,206.133,193.6
134738,18.16,26.944,202.524,196.4
134739,18.18,26.902,201.862,197.3
134740,18.20,26.898,201.841,200.1
134741,18.22,26.994,202.199,202.1
134742,18.24,27.017,201.498,199.9
134743,18.26,27.155,202.368,199.5
134744,18.28,27.209,202.310,200.0
134745,18.30,27.268,203.160,200.4
134746,18.32,27.345,205.696,199.3
134747,18.34,27.525,207.875,200.9
134748,18.36,27.628,208.902,198.3
134749,18.38,27.751,210.682,200.6
134750,18.40,27.930,211.984,198.7
134751,18.42,28.043,212.437,196.6
134752,18.44,28.101,211.948,201.6
134753,18.46,28.167,212.362,201.8
134754,18.48,28.290,213.089,199.2
134755,18.50,28.405,213.367,201.1
134756,18.52,28.539,213.862,199.7
134757,18.54,28.645,213.966,201.4
134758,18.56,28.833,216.593,200.6
134759,18.58,29.008,219.618,196.3
134760,18.60,29.215,223.843,199.8
134761,18.62,29.395,225.298,181.2
134762,18.64,29.396,224.030,171.4
134763,18.66,29.051,220.273,170.9
134764,18.68,28.284,216.097,189.9
134765,18.70,27.301,209.945,193.5
134766,18.72,26.574,206.329,189.9
134767,18.74,26.181,205.926,198.1
134768,18.76,25.777,205.456,199.7
134769,18.78,25.405,205.242,200.2
134770,18.80,25.054,203.108,199.8
134771,18.82,24.850,200.598,196.3
134772,18.84,24.717,199.324,182.0
134773,18.86,24.657,198.304,179.5
134774,18.88,24.393,196.136,169.2
134775,18.90,24.165,195.292,179.1
134776,18.92,23.936,194.233,193.0
134777,18.94,23.750,193.557,194.8
134778,18.96,23.585,192.073,198.6
134779,18.98,23.537,189.912,198.5
134780,19.00,23.631,189.683,199.8
134781,19.02,23.833,189.709,201.8
134782,19.04,24.081,189.761,202.3
134783,19.06,24.316,189.327,204.5
134784,19.08,24.483,189.314,202.4
134785,19.10,24.631,190.686,203.9
134786,19.12,24.948,192.095,204.1
134787,19.14,25.572,195.182,209.4
134788,19.16,26.334,200.036,203.5
134789,19.18,27.079,205.300,205.5
134790,19.20,27.744,210.408,207.7
134791,19.22,28.303,215.543,204.0
134792,19.24,28.647,220.974,201.9
134793,19.26,28.893,223.775,202.8
134794,19.28,29.126,224.845,200.6
134795,19.30,29.384,226.861,200.7
134796,19.32,29.587,228.751,200.3
134797,19.34,29.750,231.343,198.7
134798,19.36,29.699,232.925,198.6
134799,19.38,29.444,233.492,197.0
134800,19.40,29.156,232.532,196.7
134801,19.42,28.979,230.385,197.0
134802,19.44,28.849,225.538,200.6
134803,19.46,28.676,220.793,199.8
134804,19.48,28.198,217.623,200.7
134805,19.50,27.661,215.218,198.3
134806,19.52,27.446,212.340,198.8
134807,19.54,27.580,210.992,200.8
134808,19.56,27.873,211.427,204.1
134809,19.58,28.179,213.495,204.8
134810,19.60,28.395,214.860,204.4
134811,19.62,28.808,215.668,207.2
134812,19.64,29.302,219.190,208.8
134813,19.66,29.801,223.670,207.5
134814,19.68,30.228,228.234,204.5
134815,19.70,30.661,231.208,202.4
134816,19.72,30.974,234.296,206.8
134817,19.74,31.028,238.438,204.5
134818,19.76,30.783,239.618,204.0
134819,19.78,30.365,237.990,207.4
134820,19.80,30.033,235.675,203.9
134821,19.82,29.813,233.784,204.3
134822,19.84,29.895,233.922,201.1
134823,19.86,30.341,233.379,208.3
134824,19.88,30.733,232.190,210.4
134825,19.90,30.833,235.387,208.1
134826,19.92,30.827,238.055,202.3
134827,19.94,30.929,238.592,203.0
134828,19.96,31.192,237.707,206.0
134829,19.98,31.465,236.816,201.4
134830,20.00,31.769,236.861,202.7
134831,20.02,32.104,238.720,203.5
134832,20.04,32.346,241.980,209.4
134833,20.06,32.526,246.662,207.2
134834,20.08,32.820,251.093,204.9
134835,20.10,33.104,253.644,200.0
134836,20.12,33.250,254.542,204.0
134837,20.14,33.300,255.179,205.0
134838,20.16,33.336,254.626,201.8
134839,20.18,33.459,251.935,200.8
134840,20.20,33.546,249.323,203.0
134841,20.22,33.442,249.686,198.2
134842,20.24,33.301,250.348,201.9
134843,20.26,33.521,252.022,206.0
134844,20.28,34.227,255.596,206.2
134845,20.30,35.136,264.028,205.0
134846,20.32,35.892,273.663,206.1
134847,20.34,36.480,280.161,206.6
134848,20.36,36.611,283.943,198.9
134849,20.38,36.189,284.016,199.1
134850,20.40,35.550,281.498,195.9
134851,20.42,35.110,276.220,191.1
134852,20.44,35.134,269.035,195.0
134853,20.46,35.268,265.792,191.9
134854,20.48,35.527,268.641,201.5
134855,20.50,35.775,272.087,195.6
134856,20.52,36.073,275.350,198.3
134857,20.54,36.544,279.957,198.3
134858,20.56,36.924,279.501,201.2
134859,20.58,37.072,281.900,205.4
134860,20.60,37.381,286.361,197.1
134861,20.62,37.577,288.958,194.0
134862,20.64,37.747,287.617,195.8
134863,20.66,38.263,289.880,202.7
134864,20.68,38.819,295.987,198.4
134865,20.70,39.738,304.122,199.8
134866,20.72,41.533,310.995,184.7
134867,20.74,43.255,318.158,198.4
134868,20.76,43.980,325.940,194.9
134869,20.78,44.171,332.764,181.5
134870,20.80,44.153,335.065,170.1
134871,20.82,44.201,335.083,175.7
134872,20.84,44.156,334.211,165.3
134873,20.86,44.357,334.400,165.5
134874,20.88,44.283,332.609,170.3
134875,20.90,44.234,331.774,176.5
134876,20.92,44.196,331.000,176.2
134877,20.94,44.296,331.742,173.8
134878,20.96,44.557,333.614,177.1
134879,20.98,44.924,338.398,176.8
134880,21.00,45.300,341.494,182.0
134881,21.02,45.406,344.146,181.8
134882,21.04,45.217,348.339,195.2
134883,21.06,44.756,350.919,188.0
134884,21.08,44.118,352.080,185.2
134885,21.10,43.291,347.481,168.5
134886,21.12,42.458,339.641,159.8
134887,21.14,41.399,328.324,152.2
134888,21.16,40.185,318.737,158.7
134889,21.18,39.123,307.895,152.5
134890,21.20,38.438,300.900,160.5
134891,21.22,37.996,296.433,158.1
134892,21.24,37.601,295.601,185.0
134893,21.26,37.361,297.848,170.6
134894,21.28,36.664,297.564,182.2
134895,21.30,35.430,295.849,186.8
134896,21.32,34.263,289.983,178.3
134897,21.34,33.022,280.600,173.8
134898,21.36,32.166,271.771,172.4
134899,21.38,31.745,265.822,165.9
134900,21.40,31.790,262.453,167.6
134901,21.42,32.117,264.952,187.1
134902,21.44,32.853,271.243,188.5
134903,21.46,33.937,279.914,198.2
134904,21.48,34.766,286.008,198.6
134905,21.50,34.740,287.776,195.9
134906,21.52,34.018,289.089,201.9
134907,21.54,33.426,288.823,189.6
134908,21.56,33.269,288.867,179.8
134909,21.58,33.628,290.952,173.3
134910,21.60,33.763,289.675,187.0
134911,21.62,33.343,282.606,181.4
134912,21.64,32.787,277.345,189.3
134913,21.66,32.394,273.376,187.2
134914,21.68,32.737,272.676,190.4
134915,21.70,33.842,271.372,183.7
134916,21.72,35.241,282.067,197.2
134917,21.74,36.526,297.361,186.1
134918,21.76,37.358,308.265,171.9
134919,21.78,37.748,315.499,183.4
134920,21.80,37.793,312.166,184.1
134921,21.82,37.572,307.914,175.8
134922,21.84,37.728,304.815,167.3
134923,21.86,38.295,304.127,168.8
134924,21.88,39.559,305.971,172.9
134925,21.90,41.517,311.461,186.7
134926,21.92,43.081,323.650,202.7
134927,21.94,44.509,336.758,199.6
134928,21.96,45.909,349.478,194.2
134929,21.98,47.664,359.824,195.5
134930,22.00,49.059,374.029,192.8
134931,22.02,49.988,384.929,174.0
134932,22.04,50.553,390.540,159.8
134933,22.06,51.153,394.660,141.5
134934,22.08,51.362,396.960,146.2
134935,22.10,51.657,396.003,134.3
134936,22.12,51.871,396.013,126.8
134937,22.14,52.099,400.894,114.8
134938,22.16,52.224,398.492,104.9
134939,22.18,52.335,398.109,91.6
134940,22.20,52.388,398.433,102.6
134941,22.22,52.488,398.959,106.2
134942,22.24,52.344,398.006,98.8
134943,22.26,52.217,394.025,97.9
134944,22.28,51.969,391.406,91.5
134945,22.30,51.898,390.873,92.2
134946,22.32,51.673,390.184,92.5
134947,22.34,51.631,388.619,90.6
134948,22.36,51.679,389.980,86.3
134949,22.38,51.872,390.187,89.0
134950,22.40,51.658,390.077,91.4
134951,22.42,51.533,392.697,93.3
134952,22.44,51.485,395.560,104.3
134953,22.46,51.393,398.441,98.2
134954,22.48,51.352,404.001,103.5
134955,22.50,51.001,402.632,106.8
134956,22.52,50.778,401.579,107.0
134957,22.54,50.533,398.313,98.4
134958,22.56,50.059,396.379,112.1
134959,22.58,49.665,397.248,95.0
134960,22.60,49.587,396.470,115.9
134961,22.62,49.590,392.586,112.4
134962,22.64,49.594,393.739,115.8
134963,22.66,49.497,397.524,119.2
134964,22.68,49.358,399.893,124.5
134965,22.70,49.239,400.068,120.9
134966,22.72,49.172,398.544,127.3
134967,22.74,49.201,398.344,125.9
134968,22.76,49.274,399.251,135.1
134969,22.78,49.138,398.652,129.4
134970,22.80,48.963,398.881,131.4
134971,22.82,49.026,398.050,129.8
134972,22.84,49.012,398.657,129.3
134973,22.86,49.086,400.013,140.4
134974,22.88,49.152,398.824,137.4
134975,22.90,49.109,398.895,135.1
134976,22.92,48.913,396.433,131.6
134977,22.94,48.777,396.807,135.5
134978,22.96,48.811,397.564,135.7
134979,22.98,48.994,399.409,140.6
134980,23.00,48.969,401.196,135.5
134981,23.02,48.974,399.804,136.0
134982,23.04,48.809,396.712,121.6
134983,23.06,48.518,396.358,136.6
134984,23.08,48.414,396.750,130.8
134985,23.10,48.457,393.167,132.7
134986,23.12,48.502,392.929,142.2
134987,23.14,48.566,394.510,138.9
134988,23.16,48.526,395.503,136.8
134989,23.18,48.616,397.505,137.9
134990,23.20,48.647,397.553,144.4
134991,23.22,48.848,397.192,146.8
134992,23.24,48.793,396.886,146.2
134993,23.26,48.721,396.554,142.9
134994,23.28,48.585,395.395,135.8
134995,23.30,48.325,391.231,133.1
134996,23.32,48.295,391.388,148.9
134997,23.34,48.292,392.725,144.0
134998,23.36,48.399,394.232,149.6
134999,23.38,48.424,397.487,148.5
135000,23.40,48.667,398.256,140.2
135001,23.42,48.682,398.050,155.0
135002,23.44,48.729,398.105,163.0
135003,23.46,48.899,400.852,158.9
135004,23.48,48.901,399.186,151.2
135005,23.50,49.100,397.788,159.7
135006,23.52,49.142,398.620,143.7
135007,23.54,49.168,400.765,155.3
135008,23.56,49.211,402.557,141.6
135009,23.58,49.392,404.062,130.0
135010,23.60,49.762,404.772,155.8
135011,23.62,49.934,407.916,158.6
135012,23.64,49.980,412.541,154.8
135013,23.66,50.029,414.269,157.9
135014,23.68,50.080,414.477,148.6
135015,23.70,50.122,413.507,151.2
135016,23.72,50.325,413.406,147.1
135017,23.74,50.194,412.783,140.5
135018,23.76,50.290,412.737,140.2
135019,23.78,50.561,411.448,130.6
135020,23.80,50.750,411.950,133.3
135021,23.82,50.921,412.066,138.8
135022,23.84,51.333,412.841,122.8
135023,23.86,51.768,414.143,122.2
135024,23.88,52.167,416.456,137.6
135025,23.90,52.646,418.915,133.9
135026,23.92,52.886,420.988,127.8
135027,23.94,53.277,423.150,136.3
135028,23.96,53.671,424.358,133.4
135029,23.98,53.854,427.051,140.7
135030,24.00,54.027,431.556,139.7
135031,24.02,54.276,433.988,139.6
135032,24.04,54.920,433.493,145.8
135033,24.06,55.122,431.892,152.3
135034,24.08,55.341,435.551,145.5
135035,24.10,55.588,436.916,129.3
135036,24.12,56.028,436.036,131.2
135037,24.14,56.664,435.460,113.4
135038,24.16,57.094,436.639,120.6
135039,24.18,57.082,441.946,104.6
135040,24.20,57.251,445.405,102.2
135041,24.22,57.341,446.330,97.3
135042,24.24,57.347,446.659,86.3
135043,24.26,57.428,446.985,89.1
135044,24.28,57.328,449.127,94.0
135045,24.30,57.442,449.217,91.5
135046,24.32,57.366,446.800,68.2
135047,24.34,57.256,441.662,68.7
135048,24.36,56.913,437.351,63.4
135049,24.38,56.319,431.476,67.9
135050,24.40,56.035,427.934,69.7
135051,24.42,55.855,424.748,70.4
135052,24.44,55.736,421.751,72.5
135053,24.46,55.505,421.788,65.6
135054,24.48,55.455,423.620,84.9
135055,24.50,55.651,425.954,76.2
135056,24.52,55.677,429.265,78.7
135057,24.54,55.784,432.298,91.0
135058,24.56,55.746,436.492,109.4
135059,24.58,55.629,437.953,116.2
135060,24.60,55.818,439.574,115.7
135061,24.62,55.743,440.229,116.2
135062,24.64,55.787,438.390,130.3
135063,24.66,55.576,435.010,117.2
135064,24.68,55.464,436.153,106.2
135065,24.70,55.214,434.929,95.9
135066,24.72,55.143,431.480,105.1
135067,24.74,55.030,432.373,115.5
135068,24.76,55.210,436.503,122.3
135069,24.78,55.471,440.262,118.8
135070,24.80,55.541,442.514,102.0
135071,24.82,55.520,442.534,100.9
135072,24.84,55.550,440.649,110.4
135073,24.86,55.264,438.058,117.2
135074,24.88,55.029,435.684,127.4
135075,24.90,54.709,434.848,106.3
135076,24.92,54.642,434.074,112.1
135077,24.94,54.441,433.006,114.9
135078,24.96,54.604,433.536,113.5
135079,24.98,54.644,434.672,107.1
135080,25.00,54.373,434.939,112.0
135081,25.02,54.236,434.463,110.2
135082,25.04,54.100,434.462,118.1
135083,25.06,54.253,437.388,132.6
135084,25.08,54.296,440.391,122.8
135085,25.10,54.478,442.788,130.4
135086,25.12,54.725,442.543,135.6
135087,25.14,54.948,441.294,129.0
135088,25.16,54.592,441.205,127.8
135089,25.18,54.541,440.555,125.9
135090,25.20,54.571,437.511,132.9
135091,25.22,54.580,440.230,128.7
135092,25.24,54.646,443.084,139.5
135093,25.26,54.790,447.783,130.1
135094,25.28,54.607,450.462,125.0
135095,25.30,54.754,453.096,128.0
135096,25.32,54.791,454.494,130.3
135097,25.34,54.608,455.300,136.3
135098,25.36,54.382,459.678,131.0
135099,25.38,54.126,457.184,128.0
135100,25.40,54.058,455.024,121.3
135101,25.42,53.739,452.779,121.6
135102,25.44,53.602,451.241,132.7
135103,25.46,53.231,452.634,131.5
135104,25.48,52.988,451.542,128.2
135105,25.50,52.733,448.977,132.7
135106,25.52,52.551,446.263,138.5
135107,25.54,52.487,442.437,152.8
135108,25.56,52.459,440.134,149.8
135109,25.58,52.542,439.768,142.5
135110,25.60,52.610,444.127,157.2
135111,25.62,52.672,447.037,146.5
135112,25.64,52.717,448.544,155.9
135113,25.66,52.644,449.907,151.3
135114,25.68,52.605,450.948,149.1
135115,25.70,52.325,450.500,147.9
135116,25.72,51.921,446.000,151.8
135117,25.74,51.574,441.303,151.0
135118,25.76,51.341,441.300,146.7
135119,25.78,51.482,438.258,144.7
135120,25.80,51.553,439.402,164.2
135121,25.82,51.800,441.892,173.5
135122,25.84,52.189,447.040,172.0
135123,25.86,52.106,450.534,173.0
135124,25.88,52.009,450.205,180.7
135125,25.90,52.039,447.869,158.3
135126,25.92,51.947,447.280,162.1
135127,25.94,51.963,447.314,166.3
135128,25.96,51.959,449.262,166.4
135129,25.98,52.141,447.814,154.7
135130,26.00,52.020,451.784,167.4
135131,26.02,51.841,455.004,165.5
135132,26.04,51.528,455.745,162.9
135133,26.06,51.365,451.623,178.0
135134,26.08,50.941,451.091,170.7
135135,26.10,50.412,448.286,176.4
135136,26.12,49.986,442.730,160.7
135137,26.14,49.669,437.125,155.1
135138,26.16,49.658,431.730,170.8
135139,26.18,49.265,432.801,158.4
135140,26.20,49.063,432.307,162.0
135141,26.22,48.790,429.940,163.6
135142,26.24,48.624,427.219,164.3
135143,26.26,48.183,425.864,175.1
135144,26.28,47.846,424.118,173.8
135145,26.30,47.436,423.113,169.3
135146,26.32,47.100,419.548,172.0
135147,26.34,46.763,415.431,170.3
135148,26.36,46.342,411.175,174.6
135149,26.38,45.839,406.446,179.2
135150,26.40,45.105,402.126,169.7
135151,26.42,44.459,395.030,172.5
135152,26.44,43.725,384.806,172.5
135153,26.46,42.962,377.483,171.9
135154,26.48,42.237,369.606,176.3
135155,26.50,41.247,361.965,169.8
135156,26.52,40.032,351.569,167.5
135157,26.54,38.562,340.977,159.3
135158,26.56,36.835,329.832,163.8
135159,26.58,35.118,321.248,168.6
135160,26.60,33.528,307.729,171.1
135161,26.62,31.922,290.739,177.5
135162,26.64,30.241,277.200,190.6
135163,26.66,28.776,266.435,193.7
135164,26.68,27.357,266.180,203.7
135165,26.70,25.537,279.183,205.1
135166,26.72,23.109,308.701,219.6
135167,26.74,20.290,336.578,232.6
135168,26.76,17.447,343.852,241.5
135169,26.78,15.034,336.470,264.0
135170,26.80,13.641,310.222,329.0
135171,26.82,13.165,278.258,344.2
135172,26.84,13.722,254.014,341.4
135173,26.86,15.047,239.608,344.9
135174,26.88,16.316,218.367,134.1
135175,26.90,16.691,187.969,72.9
135176,26.92,16.468,185.864,62.1
135177,26.94,15.737,207.602,66.4
135178,26.96,14.807,226.535,86.7
135179,26.98,13.719,239.554,84.5
135180,27.00,13.461,249.986,107.0
135181,27.02,13.962,246.346,96.4
135182,27.04,13.486,226.509,77.5
135183,27.06,12.541,232.807,49.2
135184,27.08,12.150,242.837,75.0
135185,27.10,12.728,243.839,54.3
135186,27.12,12.907,220.778,27.7
135187,27.14,12.249,214.729,37.2
135188,27.16,12.627,222.097,23.4
135189,27.18,12.671,229.216,52.1
135190,27.20,12.642,249.087,55.4
135191,27.22,12.213,243.419,22.9
135192,27.24,11.284,225.263,32.3
135193,27.26,10.702,219.692,59.3
135194,27.28,10.660,216.586,89.4
135195,27.30,11.164,213.290,116.6
135196,27.32,12.321,202.556,70.3
135197,27.34,13.342,187.048,43.4
135198,27.36,13.693,178.150,36.1
135199,27.38,13.438,182.563,37.8
135200,27.40,13.111,201.075,58.1
135201,27.42,12.468,210.373,72.2
135202,27.44,11.855,208.029,74.9
135203,27.46,11.091,207.785,115.2
135204,27.48,10.919,212.534,91.6
135205,27.50,11.305,206.411,83.9
135206,27.52,12.123,198.162,67.0
135207,27.54,12.457,183.675,46.4
135208,27.56,12.390,176.003,49.1
135209,27.58,12.265,176.577,54.0
135210,27.60,12.172,179.921,75.6
135211,27.62,12.298,178.354,86.9
135212,27.64,12.350,175.987,51.4
135213,27.66,12.331,172.506,45.5
135214,27.68,12.338,170.469,45.2
135215,27.70,12.121,168.282,34.1
135216,27.72,11.700,162.064,31.6
135217,27.74,11.483,154.796,40.8
135218,27.76,11.834,151.286,37.9
135219,27.78,12.540,146.914,35.2
135220,27.80,13.482,139.881,32.3
135221,27.82,14.243,135.132,33.3
135222,27.84,15.355,126.413,36.3
135223,27.86,16.753,116.757,28.5
135224,27.88,18.377,136.851,26.6
135225,27.90,19.595,155.607,16.4
135226,27.92,19.641,165.147,11.7
135227,27.94,18.791,172.760,7.6
135228,27.96,17.741,179.426,14.7
135229,27.98,17.016,180.890,23.0
135230,28.00,17.035,181.672,21.1
135231,28.02,17.713,178.291,39.8
135232,28.04,18.487,180.019,49.2
135233,28.06,18.684,197.475,42.4
135234,28.08,18.031,220.894,34.4
135235,28.10,16.901,222.892,36.1
135236,28.12,15.963,221.626,43.9
135237,28.14,15.413,215.616,80.1
135238,28.16,15.342,207.160,168.1
135239,28.18,17.027,200.891,191.7
135240,28.20,19.638,194.946,121.1
135241,28.22,21.646,177.601,101.8
135242,28.24,22.696,172.556,72.3
135243,28.26,23.173,191.230,56.0
135244,28.28,23.188,236.444,42.9
135245,28.30,22.735,295.738,41.9
135246,28.32,21.788,345.134,48.0
135247,28.34,19.265,339.799,58.0
135248,28.36,15.896,317.418,84.3
135249,28.38,12.539,279.300,117.7
135250,28.40,10.679,251.600,217.1
135251,28.42,11.652,227.810,343.8
135252,28.44,14.836,206.477,318.3
135253,28.46,18.139,201.232,238.2
135254,28.48,19.820,186.021,146.4
135255,28.50,20.931,167.128,130.7
135256,28.52,22.599,170.194,138.6
135257,28.54,24.024,177.291,144.5
135258,28.56,24.229,183.078,123.4
135259,28.58,23.981,188.669,130.3
135260,28.60,23.496,199.682,127.2
135261,28.62,22.855,205.895,133.2
135262,28.64,22.294,214.113,138.5
135263,28.66,21.732,211.309,161.6
135264,28.68,21.198,215.339,201.8
135265,28.70,20.264,218.811,214.1
135266,28.72,19.176,213.978,211.1
135267,28.74,17.912,206.247,220.6
135268,28.76,17.339,198.399,235.4
135269,28.78,16.865,190.159,252.1
135270,28.80,16.665,185.760,246.9
135271,28.82,16.676,187.781,218.4
135272,28.84,16.955,194.075,177.3
135273,28.86,17.664,201.056,170.9
135274,28.88,18.265,217.080,198.3
135275,28.90,18.149,224.520,221.7
135276,28.92,17.710,222.646,243.5
135277,28.94,17.893,217.184,258.9
135278,28.96,18.123,214.561,289.8
135279,28.98,17.192,209.214,273.6
135280,29.00,15.735,196.064,216.9
135281,29.02,14.247,179.944,211.1
135282,29.04,13.771,171.983,239.5
135283,29.06,14.295,183.752,281.4
135284,29.08,14.966,213.889,296.7
135285,29.10,15.009,209.106,169.0
135286,29.12,14.355,194.038,166.0
135287,29.14,12.974,189.601,140.3
135288,29.16,11.925,194.994,109.6
135289,29.18,11.951,206.786,160.0
135290,29.20,12.997,204.376,153.6
135291,29.22,13.292,190.284,119.1
135292,29.24,13.288,177.158,125.8
135293,29.26,13.685,172.309,114.5
135294,29.28,14.479,175.379,133.2
135295,29.30,15.152,181.659,120.3
135296,29.32,14.778,189.193,149.1
135297,29.34,13.925,209.165,170.2
135298,29.36,13.244,217.004,185.7
135299,29.38,12.319,195.892,222.7
