,id,type,x,y,water_depth
115,HKW067-TCPT,SCP,548161.10,5832283.32,29.00
116,HKW068-PCPT,SCP,549365.67,5832053.43,27.00
117,HKW069-PCPT,SCP,552901.33,5831386.32,29.00
118,HKW070-PCPT,SCP,550858.89,5831368.68,30.00
119,HKW071-PCPT,SCP,543688.10,5832323.62,28.00
120,HKW072-PCPT,SCP,546074.92,5831868.18,28.00
121,HKW072-PCPT-B,SCP,546072.00,5831865.00,29.00
122,HKW073-PCPT,SCP,549977.21,5831129.01,25.00
123,HKW073-SCPT,SCP,549973.83,5831125.04,25.50
124,HKW073-TCPT,SCP,549974.85,5831128.08,25.00
125,HKW074-PCPT,SCP,551968.32,5830742.32,29.00
126,HKW074-TCPT,SCP,551961.92,5830746.19,29.00
127,HKW075-PCPT,SCP,552753.49,5830594.44,29.50
128,HKW076-PCPT,SCP,553507.62,5830453.13,27.00
129,HKW077-PCPT,SCP,544397.00,5831786.00,30.00
130,HKW077-SCPT,SCP,544400.54,5831782.75,30.00
131,HKW077-TCPT,SCP,544399.45,5831779.81,30.00
132,HKW078-PCPT,SCP,548741.82,5830956.80,28.00
133,HKW079-PCPT,SCP,552587.69,5829822.65,29.00
134,HKW080-PCPT,SCP,542279.49,5831371.64,30.00
135,HKW081-PCPT,SCP,543070.54,5831222.45,30.00
136,HKW082-PCPT,SCP,543883.56,5831064.31,30.00
137,HKW082-TCPT,SCP,543887.86,5831061.56,30.00
138,HKW083-PCPT,SCP,544673.00,5830919.00,29.00
139,HKW084-PCPT,SCP,545445.00,5830757.00,30.00
140,HKW084-SCPT-A,SCP,545445.12,5830754.66,27.00
141,HKW085-PCPT,SCP,546224.14,5830620.15,28.00
142,HKW086-PCPT,SCP,548588.52,5830166.56,26.00
143,HKW087-PCPT,SCP,549364.68,5830011.72,24.00
144,HKW088-PCPT,SCP,550138.43,5829876.34,27.00
145,HKW089-PCPT,SCP,550950.12,5829715.78,29.00
146,HKW090-PCPT,SCP,551736.77,5829568.00,27.00
147,HKW091-PCPT,SCP,552816.47,5828957.26,30.00
148,HKW092-PCPT,SCP,542529.43,5830513.70,30.00
149,HKW093-PCPT,SCP,544908.00,5830059.00,30.00
150,HKW094-PCPT,SCP,546072.91,5829835.69,29.00
151,HKW094-TCPT,SCP,546070.50,5829835.97,30.00
152,HKW095-PCPT,SCP,548833.10,5829307.62,26.00
153,HKW096-PCPT,SCP,550802.21,5828939.95,32.00
154,HKW096-SCPT,SCP,550799.29,5828936.01,31.40
155,HKW097-PCPT,SCP,541307.48,5830337.50,30.00
156,HKW098-PCPT,SCP,543161.72,5829574.52,31.00
157,HKW099-PCPT,SCP,545921.79,5829050.99,29.00
158,HKW100-PCPT,SCP,546708.33,5828894.98,28.00
159,HKW101-PCPT,SCP,548290.32,5828593.40,27.00
160,HKW101-SCPT,SCP,548287.01,5828598.05,27.00
161,HKW101-TCPT,SCP,548287.50,5828594.28,27.00
162,HKW101-TCPT-A,SCP,548293.46,5828595.36,27.00
163,HKW102-PCPT,SCP,550253.00,5828235.09,30.00
164,HKW103-PCPT,SCP,551430.25,5828008.70,30.00
165,HKW103-TCPT,SCP,551424.06,5828009.28,30.00
166,HKW104-PCPT,SCP,541908.17,5829410.48,32.00
167,HKW104-SCPT,SCP,541904.15,5829406.72,32.00
168,HKW104-TCPT,SCP,541907.83,5829402.57,32.00
169,HKW105-PCPT,SCP,549379.74,5827981.85,25.00
170,HKW106-PCPT,SCP,552521.93,5827388.78,29.00
171,HKW107-PCPT,SCP,543125.54,5828769.29,30.00
172,HKW108-PCPT,SCP,544608.75,5828488.07,30.00
173,HKW109-PCPT,SCP,544070.92,5827774.37,29.00
174,HKW110-PCPT,SCP,545624.75,5827490.40,31.00
175,HKW110-SCPT,SCP,545628.71,5827487.21,30.00
176,HKW110-TCPT,SCP,545622.20,5827488.85,30.00
177,HKW111-PCPT,SCP,548389.40,5826946.46,24.00
178,HKW111-TCPT,SCP,548392.39,5826944.01,23.00
179,HKW112-PCPT,SCP,550728.55,5826504.63,31.50
180,HKW112-SCPT,SCP,550731.77,5826502.73,31.00
181,HKW112-TCPT,SCP,550724.75,5826499.97,32.00
182,HKW113-PCPT,SCP,549387.09,5825942.18,25.00
183,HKW114-PCPT,SCP,545804.24,5826217.71,28.00
184,HKW115-PCPT,SCP,546597.00,5826072.00,28.00
185,HKW116-PCPT,SCP,549980.80,5824612.04,32.00
186,HKW117-PCPT,SCP,548317.47,5824521.54,24.00
187,HKW118-PCPT,SCP,550431.27,5824936.48,30.00
188,HKW118-SCPT,SCP,550426.71,5824932.41,30.00
189,HKW118-TCPT,SCP,550432.56,5824930.18,30.00
